date;message_id;reply_to_msg_id;channel_name;channel_id;sender;sender_id;message;views;comments;reactions;channel_members_count;channel_url;reactions_total;forwarded;forwards;topic_title
2026-04-26 17:10:26+00:00;1943;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;Кто слил туры, го в комменты 🔽  __*Как известно, когда у всех всё плохо, это уже хорошо)__;496;35;{'ReactionCustomEmoji(document_id=5213185059971951038)': 28, ':loudly_crying_face:': 7, ':fire:': 4, ':beaming_face_with_smiling_eyes:': 3, ':hundred_points:': 1};1397;https://t.me/boitsov_astro;43;0;3;
2026-04-24 15:49:08+00:00;1942;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;Возможность зайти в телеграм в окрестностях Сириуса выпадает очень не часто (у меня по крайней мере - не знаю, с чем это связано). Так что не теряйте. Через неделю чего-нибудь по итогам поездки напишу ☺️  А пока вам небольшой кусочек видеохроники, как члены жюри загорают под Сочи;604;3;{'ReactionCustomEmoji(document_id=5213185059971951038)': 34, ':red_heart:': 19, ':fire:': 9};1397;https://t.me/boitsov_astro;62;0;12;
2026-04-23 15:21:21+00:00;1941;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;728;;;1397;https://t.me/boitsov_astro;0;0;1;
2026-04-23 15:21:21+00:00;1940;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;727;;;1397;https://t.me/boitsov_astro;0;0;2;
2026-04-23 15:21:21+00:00;1939;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;741;;;1397;https://t.me/boitsov_astro;0;0;1;
2026-04-23 15:21:21+00:00;1938;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;663;;;1397;https://t.me/boitsov_astro;0;0;1;
2026-04-23 15:21:21+00:00;1937;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;682;;;1397;https://t.me/boitsov_astro;0;0;1;
2026-04-23 15:21:21+00:00;1936;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;640;;;1397;https://t.me/boitsov_astro;0;0;1;
2026-04-23 15:21:21+00:00;1935;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;За все поездки в Сириус впервые добираюсь до университета. Думал в музей космонавтики попал с таким количеством экспонатов 😁;625;0;{':red_heart:': 27, ':fire:': 10, ':thumbs_up:': 5, ':COOL_button:': 2, ':red_heart:\\u200d:fire:': 1};1397;https://t.me/boitsov_astro;45;0;1;
2026-04-23 13:37:54+00:00;1934;;ЕВГЕНИЙ БОЙЦОВ | ПРЕПОДАВАТЕЛЬ АСТРОНОМИИ;2062391540;;-1;MediaMessage;625;7;{':unicorn:': 25, ':red_heart:': 19, ':fire:': 14, 'ReactionCustomEmoji(document_id=5285056952508902924)': 4, 'ReactionCustomEmoji(document_id=5213090708130390040)': 2, 'ReactionCustomEmoji(document_id=5213185059971951038)': 2};1397;https://t.me/boitsov_astro;66;0;3;
